uniprot,biogrid
O95407,114301
O95409,113378
O95411,114653
O95415,117330
O95416,113991
O95425,112707
O95427,117100
O95428,124645
O95429,114906
O95433,115846
O95436,115819
O95445,121006
O95447,127258
O95450,114887
O95452,116018
O95453,111107
O95455,117041
O95456,114179
O95460,114313
O95461,114649
O95466,107208
O95467,109040
O95470,114398
O95471,107758
O95473,117090
O95475,111034
O95476,116972
O95477,106537
O95478,115683
O95479,114933
O95486,116016
O95487,115696
O95490,116868
O95497,114395
O95498,114394
O95500,117105
O95502,117029
O95503,117028
O95528,123350
O95544,122408
O95551,119615
O95561,124939
O95562,131951
O95563,117389
O95567,117307
